geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062717	Gisuma	Gisuma		-2.4627	29.5647	H	STM	RW		15				0		1846	Africa/Kigali	2009-11-28
7062718	Gisayo	Gisayo		-2.4427	29.5681	H	STM	RW		15				0		1770	Africa/Kigali	2009-11-28
7062719	Kabindi	Kabindi		-2.4548	29.5719	H	STMI	RW		15				0		1772	Africa/Kigali	2009-11-28
7062720	Kabingo	Kabingo		-2.4397	29.5796	H	STMI	RW		15				0		1722	Africa/Kigali	2009-11-28
7062721	Rusenyi	Rusenyi		-2.4486	29.579	H	STMI	RW		15				0		1780	Africa/Kigali	2009-11-28
7062722	Ruhondo	Ruhondo		-2.4486	29.5791	H	STMI	RW		15				0		1780	Africa/Kigali	2009-11-28
7062723	Rwanugongo	Rwanugongo		-2.4617	29.5843	H	STMI	RW		15				0		1812	Africa/Kigali	2009-11-28
7062724	Nyagisenyi	Nyagisenyi		-2.4581	29.5835	H	STMI	RW		15				0		1847	Africa/Kigali	2009-11-28
7062725	Mwaro	Mwaro		-2.4519	29.5851	H	STMI	RW		15				0		1795	Africa/Kigali	2009-11-28
7062726	Rusizi	Rusizi		-2.4507	29.585	H	STMI	RW		15				0		1811	Africa/Kigali	2009-11-28
7062727	Nyamigogo	Nyamigogo		-2.4506	29.585	H	STMI	RW		15				0		1811	Africa/Kigali	2009-11-28
7062728	Murugaragara	Murugaragara		-2.4325	29.5788	H	STMI	RW		15				0		1720	Africa/Kigali	2009-11-28
7062729	Gatare	Gatare		-2.4274	29.5771	H	STMI	RW		15				0		1712	Africa/Kigali	2009-11-28
7062730	Karumbi	Karumbi		-2.4176	29.577	H	STMI	RW		15				0		1717	Africa/Kigali	2009-11-28
7062731	Kilizo	Kilizo		-2.4374	29.5951	H	STMI	RW		15				0		1813	Africa/Kigali	2009-11-28
7062732	Rukoma	Rukoma		-2.4327	29.593	H	STMI	RW		15				0		1805	Africa/Kigali	2009-11-28
7062733	Kavu	Kavu		-2.4371	29.5953	H	STMI	RW		15				0		1813	Africa/Kigali	2009-11-28
7062734	Karama	Karama		-2.4255	29.5892	H	STMI	RW		15				0		1757	Africa/Kigali	2009-11-28
7062735	Ntomvu	Ntomvu		-2.4135	29.5891	H	STMI	RW		15				0		1763	Africa/Kigali	2009-11-28
7062736	Kavomo	Kavomo		-2.4113	29.5905	H	STM	RW		15				0		1746	Africa/Kigali	2009-11-28
7062737	Kavu	Kavu		-2.4084	29.5911	H	STMI	RW		15				0		1791	Africa/Kigali	2009-11-28
7062738	Gasuma	Gasuma		-2.4138	29.5886	H	STM	RW		15				0		1735	Africa/Kigali	2009-11-28
7062739	Ruteko	Ruteko		-2.4137	29.5886	H	STM	RW		15				0		1747	Africa/Kigali	2009-11-28
7062740	Nkomane	Nkomane		-2.4098	29.583	H	STM	RW		15				0		1699	Africa/Kigali	2009-11-28
